INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
225;BAHIA;SOBRADINHO;3228229
226;BAHIA;UMBURANAS;3036230
227;BAHIA;VARZEDO;1446290
228;BAHIA;VEREDA;1118202
229;BAHIA;JUSSARI;1098010
230;BAHIA;AMERICA DOURADA;3252525
231;BAHIA;ARATACA;1977275
232;BAHIA;BARRO ALTO;2389625
233;BAHIA;BURITIRAMA;3903395
234;BAHIA;CAPELA DO ALTO ALEGRE;1860120
235;BAHIA;CAPIM GROSSO;4344933
236;BAHIA;CANUDOS;2782676
237;BAHIA;DIAS D'AVILA;6482775
238;BAHIA;FATIMA;3416154
239;BAHIA;FILADELFIA;3298187
240;BAHIA;GAVIAO;832594
241;BAHIA;GUAJERU;1420406
242;BAHIA;HELIOPOLIS;2430498
243;BAHIA;JOAO DOURADO;3704904
244;BAHIA;EUNAPOLIS;6603171
245;BAHIA;ADUSTINA;2620164
246;BAHIA;ANDORINHA;2642633
247;BAHIA;APUAREMA;1338912
248;BAHIA;ARACAS;1890854
249;BAHIA;BANZAE;2238955
250;BAHIA;BOM JESUS DA SERRA;1714891
251;BAHIA;BONITO;2586264
252;BAHIA;CABACEIRAS DO PARAGUACU;3077916
253;BAHIA;CAETANOS;2078462
254;BAHIA;CARAIBAS;2113672
255;BAHIA;CATURAMA;1450482
256;BAHIA;FEIRA DA MATA;924804
257;BAHIA;IGRAPIUNA;2677320
258;BAHIA;ITABELA;4025697
259;BAHIA;ITAGUACU DA BAHIA;2618911
260;BAHIA;ITATIM;2583367
261;BAHIA;IUIU;1687316
262;BAHIA;JUCURUCU;2014911
263;BAHIA;LAGOA REAL;2087090
264;BAHIA;LAGEDO DO TABOCAL;1218097
265;BAHIA;MADRE DE DEUS;1835779
266;BAHIA;MATINA;2148741
267;BAHIA;MIRANTE;1672180
268;BAHIA;MULUNGU DO MORRO;2867046
269;BAHIA;ABAIRA;1245479
270;BAHIA;ABARE;3388892
271;BAHIA;ACAJUTIBA;2413155
272;BAHIA;AGUA FRIA;2525426
273;BAHIA;ERICO CARDOSO;1651028
274;BAHIA;AIQUARA;816427
275;BAHIA;ALAGOINHAS;15657142
276;BAHIA;ALCOBACA;3281441
277;BAHIA;ALMADINA;1187131
278;BAHIA;AMARGOSA;4677383
279;BAHIA;AMELIA RODRIGUES;3145775
280;BAHIA;ANAGE;4453196
281;BAHIA;ANDARAI;2730361
282;BAHIA;ANGICAL;2499845
283;BAHIA;ANGUERA;1428799
284;BAHIA;ANTAS;2250848
285;BAHIA;ANTONIO CARDOSO;1944288
286;BAHIA;ANTONIO GONCALVES;1858139
287;BAHIA;APORA;3217543
288;BAHIA;ARACATU;2353944
289;BAHIA;ARACI;10970214
